Id_Problemática,Nombre_Problemática,Tipo_Problemática,Palabras_Clave
P001,Desempleo juvenil,Económica,[empleo;juventud;educación;oportunidades;capacitación]
P002,Deforestación,Ambiental,[bosques;biodiversidad;sostenibilidad;tala;ecosistemas]
P003,Acceso a servicios de salud,Social,[salud;cobertura;rural;hospitales;atención]
P004,Violencia armada,Social,[conflicto;seguridad;víctimas;paz;desplazamiento]
P005,Pobreza extrema,Económica,[ingresos;necesidades básicas;vulnerabilidad;desigualdad;subsistencia]
P006,Déficit de vivienda,Social,[vivienda;urbanización;hacinamiento;construcción;habitabilidad]
P007,Contaminación hídrica,Ambiental,[agua;ríos;contaminación;saneamiento;residuos]
P008,Deserción escolar,Social,[educación;niñez;cobertura;permanencia;calidad]
P009,Infraestructura vial deficiente,Económica,[vías;transporte;conectividad;desarrollo;comercio]
P010,Minería ilegal,Ambiental,[minería;ilegalidad;contaminación;mercurio;explotación]
P011,Desnutrición infantil,Social,[nutrición;infancia;salud;alimentación;pobreza]
P012,Desplazamiento forzado,Social,[desplazamiento;conflicto;víctimas;migración;violencia]
P013,Falta de acceso a agua potable,Social,[agua;potabilidad;rural;saneamiento;servicios]
P014,Cultivos ilícitos,Social,[narcotráfico;coca;ilegalidad;seguridad;sustitución]
P015,Erosión del suelo,Ambiental,[suelo;erosión;agricultura;degradación;tierras]
P016,Informalidad laboral,Económica,[empleo informal;economía;seguridad social;ingresos;precariedad]
P017,Cambio climático,Ambiental,[clima;temperatura;sequías;inundaciones;adaptación]
P018,Bajo acceso a tecnología,Económica,[tecnología;internet;brecha digital;conectividad;educación]
P019,Contaminación del aire,Ambiental,[aire;polución;emisiones;calidad ambiental;respiratorio]
P020,Dependencia de monocultivos,Económica,[agricultura;monocultivo;diversificación;economía rural;sostenibilidad]
P021,Pérdida de biodiversidad,Ambiental,[especies;extinción;fauna;flora;conservación]
P022,Inequidad en distribución de tierras,Económica,[tierra;latifundio;reforma agraria;campesinos;concentración]
P023,Residuos sólidos,Ambiental,[basura;reciclaje;rellenos sanitarios;gestión residuos;contaminación]
P024,Corrupción institucional,Social,[corrupción;transparencia;instituciones;gobernanza;ética]
P025,Baja productividad agrícola,Económica,[agricultura;productividad;tecnificación;rendimiento;competitividad]
P026,Incendios forestales,Ambiental,[fuego;bosques;quemas;prevención;ecosistemas]
P027,Falta de innovación empresarial,Económica,[innovación;emprendimiento;competitividad;investigación;desarrollo]
P028,Contaminación por agroquímicos,Ambiental,[pesticidas;agrotóxicos;suelo;agua;salud]
P029,Déficit en infraestructura energética,Económica,[energía;electricidad;cobertura;infraestructura;desarrollo]
P030,Tráfico de fauna silvestre,Ambiental,[fauna;tráfico;especies;ilegalidad;biodiversidad]
